"PVWatts Hourly PV Performance Data"
"Requested Location","symlar"
"Location","Lat, Lng: 34.33, -118.46"
"Latitude (DD)","34.33"
"Longitude (DD)","-118.46"
"Elevation (m)","655.79998779297"
"DC System Size (kW)","4000"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","25","18","0","0","11","1.6","0.15","0","0","0","0"
"4","25","19","0","0","9","1.2","0.15","0","9","0","0"
"4","25","20","0","0","9","1","0.15","0","9","0","0"
"4","25","21","0","0","8","0.9","0.15","0","8","0","0"
"4","25","22","0","0","7","0.8","0.15","0","7","0","0"
"4","25","23","0","0","6","0.8","0.15","0","6","0","0"
"4","26","0","0","0","6","1","0.15","0","6","0","0"
"4","26","1","0","0","5","1.1","0.15","0","5","0","0"
"4","26","2","0","0","5","1.2","0.15","0","5","0","0"
"4","26","3","0","0","5","1.2","0.15","0","5","0","0"
"4","26","4","0","0","5","1.2","0.15","0","5","0","0"
"4","26","5","129","23","6","2","0.15","17.671","6.392","43159.386","25775.827"
"4","26","6","319","89","8","2.6","0.15","153.314","11.242","487192.818","454075.389"
"4","26","7","754","96","11","2.6","0.15","439.59","20.544","1521440.935","1451675.983"
"4","26","8","845","114","14","2.6","0.15","679.11","28.759","2295579.268","2198383.517"
"4","26","9","888","130","17","2.6","0.15","871.107","35.886","2836321.49","2719965.093"
"4","26","10","905","144","19","2.7","0.15","1003.434","40.338","3186603.809","3057835.516"
"4","26","11","918","147","20","3","0.15","1068.891","41.569","3365897.52","3230776.138"
"4","26","12","920","143","21","3.5","0.15","1058.65","40.707","3347359.554","3212895.046"
"4","26","13","910","134","20","3.7","0.15","974.082","37.602","3132962.919","3006095.337"
"4","26","14","877","124","20","3.5","0.15","822.254","35.345","2689765.727","2578602.383"
"4","26","15","817","110","19","3","0.15","610.653","31.388","2048919.08","1960463.48"
"4","26","16","706","91","17","2.3","0.15","366.303","25.363","1216061.764","1157117.611"
"4","26","17","466","63","14","1.4","0.15","128.391","17.336","351137.727","322841.271"
"4","26","18","0","0","12","0.9","0.15","0","0","0","0"
"4","26","19","0","0","10","0.9","0.15","0","10","0","0"
"4","26","20","0","0","9","0.8","0.15","0","9","0","0"
"4","26","21","0","0","9","0.7","0.15","0","9","0","0"
